rank,Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Population,Latitude,Longitude
6,Music,119000000,0,unknown,Music,0,unknown,Music,nan,0,0,0,0,,,,
13,Gaming,93600000,0,unknown,Gaming,0,unknown,Games,nan,0,0,0,0,,,,
17,5-Minute Crafts,80100000,26236790209,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,Entertainment,1,0,0,0,0.05,,66834405,55.378051,-3.435973
24,Canal KondZilla,66500000,36775585925,Music,Canal KondZilla,2572,Brazil,Music,447223000,0,0,0,0,,212559417,-14.235004,-51.92528
52,Bad Bunny,46100000,30686342319,Music,badbunny,1,unknown,Sports,1,0,0,0,0.05,,,,
58,BRIGHT SIDE,44500000,10708531817,Howto & Style,brightside,0,unknown,unknown,nan,0,0,0,0,1,,,
74,Luisito Comunica,40600000,8670473639,Comedy,Luis Arturo Villar Sudek,0,Mexico,Comedy,nan,0,0,0,0,,126014024,23.634501,-102.552784
100,Ultra Bollywood,36600000,15653786446,Trailers,Ultra Bollywood,9168,India,Entertainment,131462000,0,0,0,0,200000,1366417754,20.593684,78.96288
103,News,36300000,0,unknown,News,0,unknown,unknown,nan,0,0,0,0,,,,
114,T-Series Apna Punjab,34600000,21306315429,Music,T- Series Apna Punjab,0,unknown,News,nan,0,0,0,0,,,,
123,Desi Music Factory,33700000,10189027455,Music,Desi music factory,2,unknown,Music,nan,0,0,0,0,,,,
126,Ch3Thailand,33500000,29611914495,Entertainment,Ch3Thailand,96214,Thailand,Entertainment,61307000,0,0,0,0,100000,69625582,15.870032,100.992541
136,WowKidz,32200000,16613441479,Film & Animation,wowkidz,2,unknown,Entertainment,1,0,0,0,0.05,,,,
150,Luis Fonsi,31400000,15176762479,Entertainment,luisfonsi,0,unknown,unknown,nan,0,0,0,0,,,,
153,The Tonight Show Starring Jimmy Fallon,31200000,17111726160,Comedy,The Tonight Show Starring Jimmy Fallon,8976,United States,Comedy,22511000,0,0,0,0,100000,328239523,37.09024,-95.712891
165,Talking Tom,30200000,15199330166,Comedy,TalkingTom,2,United States,Entertainment,nan,0,0,0,0,,328239523,37.09024,-95.712891
167,Frost Diamond,30100000,7277493940,Gaming,frostdiamond,0,unknown,unknown,nan,0,0,0,0,6,,,
174,Popular on YouTube,29300000,0,unknown,Popular on Youtube,3,unknown,Education,1,0,0,0,0.05,,,,
176,Zhong,29200000,14727238483,Entertainment,Zhong,1513,United States,Entertainment,180519000,0,0,0,0,1000000,328239523,37.09024,-95.712891
181,Aditya Music India,28500000,25857994495,Music,Aditya Music,0,unknown,Music,nan,0,0,0,0,,,,
191,Sandeep Maheshwari,27800000,2303069221,People & Blogs,Sandeepmaheshwari,0,Singapore,unknown,nan,0,0,0,0,1,5703569,1.352083,103.819836
194,MrBeast 2,27500000,4552581106,People & Blogs,Leaux Pass,27,United States,Music,649,0,0,0,0,,328239523,37.09024,-95.712891
218,1MILLION Dance Studio,26100000,7886440199,Entertainment,1MILLION Dance Studio,0,Saudi Arabia,Music,nan,0,0,0,0,,34268528,23.885942,45.079162
